nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles	img_url_asset
nm00310801	Raven Touchstone	1940	\N	writer,costume_department,assistant_director	tt0123534,tt0426855,tt1402577,tt0474270	https://image.tmdb.org/t/p/{width_variable}/yCKC5Fmu1cTyPPiL2PLjYt20s7U.jpg
nm00313011	Bill Milling	\N	\N	producer,director,writer	tt0125231,tt0192757,tt0123521,tt1855325	\N
nm00317241	Jonathan Anzaldo	1978	\N	actor	tt0098965	\N
nm00317851	Anémone	1950	2019	actress,writer	tt0123952,tt0089860,tt0093111,tt0110784	https://image.tmdb.org/t/p/{width_variable}/9O4Lb4UiRSSWbgYzqWVsYdoIT6g.jpg
nm00320331	John Apicella	1948	\N	actor,writer,art_department	tt0096875,tt0102685,tt0219854,tt0257756	\N
nm00323731	Philip Appleby	\N	\N	composer,music_department,soundtrack	tt0114007,tt0118272,tt0297625,tt2308987	\N
nm00325361	Annabelle Apsion	1960	\N	actress	tt0120681,tt1233301,tt0119558,tt0276751	https://image.tmdb.org/t/p/{width_variable}/1hY8HNJ6nscSQpZsj8wTSOtjLdX.jpg
nm00326281	Amy Aquino	1957	\N	actress,producer,soundtrack	tt0093565,tt0103512,tt0096463,tt0283139	https://image.tmdb.org/t/p/{width_variable}/59E061EJyEl2CLcBd12p9Vi7q0B.jpg
nm00327411	Francisco Aragon	1973	\N	actor,location_management,producer	tt0151685,tt0929760,tt0119094,tt0977639	\N
nm00328201	Katsunori Arai	\N	\N	producer,camera_department	tt0214636,tt0098548,tt0229196,tt1178599	\N
nm00328811	Ion Arakelov	1948	\N	actor	tt0102241,tt0368929,tt0266678,tt5358426	https://image.tmdb.org/t/p/{width_variable}/snEgrqtFGjL0zohWMlJpoZhM79F.jpg
nm00330581	Manuel Aranguiz	1945	\N	actor	tt0118647,tt0304328,tt0463850,tt0112340	https://image.tmdb.org/t/p/{width_variable}/8qUN7ce0f8MQr93hZeX7WaaBAgb.jpg
nm00330811	Semyon Aranovich	1934	1995	director,writer,producer	tt0107023,tt0298554,tt0098682,tt0185848	https://image.tmdb.org/t/p/{width_variable}/oQejABvAYmVWjeThf9MQvbJi4sa.jpg
nm00334731	Oksana Arbuzova	1973	\N	actress,writer	tt0230404,tt2475794,tt0103712,tt0096858	https://image.tmdb.org/t/p/{width_variable}/fQRh7mRUOBMrFs8wIEAqMPoTTlD.jpg
nm00335171	Luis Arcaraz Jr.	1937	2011	composer,actor	tt0283840,tt0357439,tt0375527,tt0333886	\N
nm00342811	Gerardo Arenas	\N	\N	actor	tt0094994,tt0089699,tt1073098,tt0089089	\N
nm00343121	Volker Maria Arend	1953	\N	writer,director,cinematographer	tt0806910,tt10235172,tt1584689,tt0129180	\N
nm00347761	Pete Ariel	1941	2012	director,writer,assistant_director	tt0076858,tt0806910,tt0115088,tt0094524	\N
nm00348231	Jale Arikan	1969	\N	actress	tt0325713,tt15168234,tt2343582,tt7753296	https://image.tmdb.org/t/p/{width_variable}/iHEmvk5p5xG2TT5HbePtTxDEDEz.jpg
nm00349991	Luis Ariño	\N	\N	writer,actor,director	tt0065592,tt0097255,tt1176775,tt0089089	\N
nm00351061	Allan Arkush	1948	\N	producer,director,actor	tt2288064,tt0284718,tt0813715,tt0079813	\N
nm00356051	Alun Armstrong	1946	\N	actor,soundtrack	tt0338526,tt0085811,tt0162661,tt0209163	https://image.tmdb.org/t/p/{width_variable}/ahx132GjztjnH7gP64Q0NLewUqZ.jpg
nm00356501	Carrie Armstrong	\N	\N	actress,producer,writer	tt1285016,tt0095745,tt0119528,tt0368479	https://image.tmdb.org/t/p/{width_variable}/rIOFnIfdfqhPq1YaFpF46mzITSR.jpg
nm00357841	Karl Armstrong	\N	\N	editorial_department,editor,producer	tt1482459,tt0095745,tt0892769,tt0844471	\N
nm00360581	Françoise Arnaud	\N	\N	actress	tt0060254,tt0097615,tt0064172,tt0339837	\N
nm00366961	John Arnone	\N	\N	art_department,production_designer,art_director	tt0137162,tt0094512,tt0176357,tt0098073	\N
nm00367141	David Arnott	1963	\N	actor,miscellaneous,writer	tt0107362,tt1663662,tt0489099,tt0098987	https://image.tmdb.org/t/p/{width_variable}/wx6KwmPvnn3A1x2MtImlt55fPAK.jpg
nm00367321	Stewart Arnott	\N	\N	actor,assistant_director	tt1091909,tt5296406,tt5580390,tt3526078	https://image.tmdb.org/t/p/{width_variable}/11yoRN9kamqEoGXtwGHvaeQMaVX.jpg
nm00371921	Jeri Arredondo	1967	\N	actress	tt0097662,tt0243222,tt0108135,tt0893331	\N
nm00372681	Fernando Arribas	1940	2021	cinematographer,camera_department,editor	tt0079031,tt0092901,tt0108344,tt0071292	\N
nm00378681	Bertrand Arthuys	1958	\N	writer,director,assistant_director	tt0189281,tt0173530,tt0098488,tt2364258	\N
nm00382351	Simone Arèse	\N	\N	writer,actress	tt0097802,tt2251798	\N
nm00382981	Akira Asai	\N	\N	writer	tt0098548	\N
nm00384361	Terry Asbury	\N	\N	writer,assistant_director,location_management	tt0097664,tt0093525,tt0098172,tt0096767	\N
nm00384501	Pierre Banderet	\N	\N	actor	tt0136289,tt1304873,tt0119620,tt0085550	https://image.tmdb.org/t/p/{width_variable}/75wjERuDLYzwATfyuoygQ3sJ2w1.jpg
nm00386771	Rochelle Ashana	\N	\N	actress,stunts	tt0116225,tt0120611,tt0097390,tt0097659	https://image.tmdb.org/t/p/{width_variable}/appwwrNWhcnkUH6E47jHB0Ibgpb.jpg
nm00387311	Harvey Ashby	1933	1997	actor	tt0058846,tt0054518,tt0212698,tt0055701	\N
nm00389611	Makoto Ashikawa	1960	\N	actor,miscellaneous	tt0119250,tt0266308,tt0363226,tt0098360	https://image.tmdb.org/t/p/{width_variable}/zqwBZCqqd4R5bTYNqOq9I90WqGC.jpg
nm00391851	Al Ashton	1957	2007	actor,writer,director	tt0172495,tt1049304,tt0120681,tt0120631	https://image.tmdb.org/t/p/{width_variable}/hUkcVLyvZrF3pDyEaOdwA9c3gOl.jpg
nm00397591	Anita Assal	1958	\N	director,writer,production_manager	tt7082886,tt0098986,tt0229635,tt0312584	\N
nm00397791	Madeleine Assas	\N	\N	actress	tt9333564,tt5594954,tt2421868,tt0116334	https://image.tmdb.org/t/p/{width_variable}/jNx6lv0YTWFA2gu0Wv7irdrjT4d.jpg
nm00399381	Adele Astaire	1896	1981	writer	tt0159876,tt4916600,tt0176356,tt0147789	\N
nm00405451	Féodor Atkine	1948	\N	actor,miscellaneous	tt0073312,tt0107253,tt0086087,tt0122690	https://image.tmdb.org/t/p/{width_variable}/qCpSPJyM7v9p3fGBJV8ZqGETBr0.jpg
nm00405861	Eileen Atkins	1934	\N	actress,writer,miscellaneous	tt0955308,tt0159365,tt0286788,tt0280707	https://image.tmdb.org/t/p/{width_variable}/8gac03PfTFz2vByZi1aun0NiTqM.jpg
nm00410391	Ahmed Baha Attia	1946	2007	producer,production_manager,assistant_director	tt0312687,tt0267962,tt0102171,tt0292217	\N
nm00412491	Twiggie Au	\N	\N	production_manager,producer,actress	tt0177268,tt0446326,tt0096090,tt0115983	\N
nm00414381	Cécile Aubry	1928	2010	writer,music_department,director	tt0041634,tt0167691,tt0167624,tt0042256	https://image.tmdb.org/t/p/{width_variable}/htWXk1wyGs26CCn7tX4R9Hbt7aE.jpg
nm00416621	Barbara Auer	1959	\N	actress	tt0938493,tt2290247,tt0816442,tt0104846	https://image.tmdb.org/t/p/{width_variable}/6luVLipGUCnjEJ6x0UKEqGByJOD.jpg
nm00419571	Otávio Augusto	1945	\N	actor,assistant_director,soundtrack	tt0140769,tt0847154,tt0439460,tt0156983	https://image.tmdb.org/t/p/{width_variable}/rLtfa3Q92dQ60YtH7iJc10ISJAY.jpg
nm00422591	Conrad Aust	\N	2010	composer	tt0806901,tt0989788,tt0121027,tt0806910	\N
nm00426471	John Autry	\N	\N	editor	tt0097666,tt0123242	\N
nm00440111	Rosalind Ayres	\N	\N	actress,producer,writer	tt5153236,tt1800763,tt0120684,tt0120338	https://image.tmdb.org/t/p/{width_variable}/3TBLZwWSm8uInoZzd46OaV8glzH.jpg
nm00441561	Rafael Azcona	1926	2008	writer,actor	tt0062113,tt0103791,tt0188030,tt0057643	https://image.tmdb.org/t/p/{width_variable}/lmNHJhGZAClCrw7YH3l6LMkAA0e.jpg
nm00442351	Gilberto Azevedo	\N	\N	cinematographer,camera_department,director	tt0171998,tt0117865,tt0136289,tt0088591	\N
nm00445351	Sabine Azéma	1949	\N	actress,director,writer	tt0498120,tt0088318,tt0091507,tt0098596	https://image.tmdb.org/t/p/{width_variable}/cd8c3KFsABdkwkC2DsiknU8hT1z.jpg
nm00446421	Karin Baal	1940	\N	actress	tt0055501,tt0053975,tt0064403,tt0049288	https://image.tmdb.org/t/p/{width_variable}/vpBJNrKTuflXlm7FnE6qb2sobYX.jpg
nm00447961	Raj Babbar	1952	\N	actor,music_department	tt4248630,tt1729637,tt0158417,tt0106986	https://image.tmdb.org/t/p/{width_variable}/czcJMiNDxfQrNnDPNBM2O6cTmZR.jpg
nm00451101	Viktor Babushkin	1930	1998	sound_department,composer,music_department	tt0059550,tt0081609,tt0060584,tt0070233	\N
nm00451111	Anna Babushkina	\N	\N	editor	tt3124020,tt0067625,tt0079695,tt0060744	\N
nm00454021	John Bachelder	\N	\N	actor	tt0283361,tt0106386,tt0098962,tt0120859	\N
nm00455571	Fritz Bachschmidt	1928	1992	actor,soundtrack	tt0088601,tt3815084,tt1262713,tt0088554	\N
nm00456611	Claire Hackett	\N	\N	actress	tt2303687,tt1289406,tt0339907,tt1062207	\N
nm00463281	Bogdan Baer	1926	2002	actor	tt0062528,tt0063043,tt0127384,tt0262975	https://image.tmdb.org/t/p/{width_variable}/7lnWBUwuM6zA4U3UE6bJ7qKLh3K.jpg
nm00466501	Tony Baggot	\N	\N	camera_department,cinematographer	tt0095925,tt0093658,tt0089421,tt0097259	\N
nm00468991	Pago Bahlke	\N	\N	actor,director,writer	tt0097525,tt0806910,tt0327226	\N
nm00470351	Sofiya Gubaydulina	1931	\N	composer,soundtrack,music_department	tt0064079,tt0391920,tt0182512,tt5715874	https://image.tmdb.org/t/p/{width_variable}/1I10BEHj4iryb7ahogw6aUfa31R.jpg
nm00472641	Frederick Bailey	1946	\N	actor,writer,director	tt0088393,tt0114648,tt0207100,tt0097064	\N
nm00480601	Filip Bajon	1947	\N	miscellaneous,director,writer	tt0117810,tt0093475,tt0081767,tt0080381	https://image.tmdb.org/t/p/{width_variable}/h0N893oGwyGk0M8ZcJcPoMlqgny.jpg
nm00481211	Miroslaw Baka	1963	\N	actor,miscellaneous	tt0190965,tt0266543,tt0095468,tt3714198	https://image.tmdb.org/t/p/{width_variable}/BV3u45dwZlaB82t4cfh6REK7cR.jpg
nm00484681	George Baker	1931	2011	actor,writer,soundtrack	tt0048611,tt0076752,tt0074006,tt0064757	https://image.tmdb.org/t/p/{width_variable}/zMubzCZPcpfeTJpc7QjgEwAg5gd.jpg
nm00487351	Mark Baker	1959	\N	writer,director,animation_department	tt0426769,tt1436544,tt0097509,tt0108494	https://image.tmdb.org/t/p/{width_variable}/9r8hAxHWMtF77Lpevs8qfuxyJQs.jpg
nm00489821	Tom Baker	1934	\N	actor,writer	tt0067483,tt0292492,tt0056751,tt0238793	https://image.tmdb.org/t/p/{width_variable}/ql8lv7SdpjRLQ3gahIAmEqTyu6g.jpg
nm00494001	Balakumaran	\N	\N	writer,director,actor	tt0139876,tt0140090,tt0097416,tt0459516	\N
nm00496971	Jörg-Michael Baldenius	1940	\N	cinematographer,director,writer	tt0806910,tt0068653,tt0076280,tt1661271	\N
nm00501831	Sophie Balhetchet	\N	\N	producer	tt0084006,tt0103381,tt0421994,tt8467702	\N
nm00504821	Vincent Ball	1923	\N	actor	tt0050904,tt0110598,tt0065207,tt0049871	https://image.tmdb.org/t/p/{width_variable}/jIKae3BQSyZ1IKdsHc7eT2IPYDy.jpg
